TITULO_ORIGINAL,TITULO_BRASIL,RAZAO_SOCIAL_DISTRIBUIDORA,PAIS_OBRA,PUBLICO,ANO,PART_PATRIMONIAL_BRASILEIRA,ACORDO_COPRODUCAO,OBRA_PUBLICITARIA
THIRD PERSON,TERCEIRA PESSOA,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,BÉLGICA,19141,2015,NÃO SE APLICA,NÃO SE APLICA,SIM
THIRST STREET,UMA ESCALA EM PARIS,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,3394,2018,NÃO SE APLICA,NÃO SE APLICA,SIM
THIS IS THE END,É O FIM,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,3,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
THIS IS YOUR DEATH,ESTA É A SUA MORTE,CINEMATOGRÁFICA DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,6273,2017,NÃO SE APLICA,NÃO SE APLICA,SIM
THOMAS JOURNEY SODOR,THOMAS E SEUS AMIGOS: VIAGEM AO DESCONHECIDO,CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA,REINO UNIDO,874,2017,NÃO SE APLICA,NÃO SE APLICA,SIM
THOR: LOVE AND THUNDER,THOR: AMOR E TROVÃO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,6449884,2022,NÃO SE APLICA,NÃO SE APLICA,SIM
THOR: RAGNAROK,THOR: RAGNAROK,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,6321548,"2017, 2018",NÃO SE APLICA,NÃO SE APLICA,SIM
THOR: THE DARK WORLD,THOR: MUNDO SOMBRIO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,15018,"2014, 2015",NÃO SE APLICA,NÃO SE APLICA,SIM
THOSE WHO WISH ME DEAD,AQUELES QUE ME DESEJAM A MORTE,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,26536,2021,NÃO SE APLICA,NÃO SE APLICA,SIM
"THREE BILLBOARDS OUTSIDE EBBING, MISSOURI",TRÊS ANÚNCIOS PARA UM CRIME,FOX FILM DO BRASIL LTDA,ESTADOS UNIDOS,388425,2018,NÃO SE APLICA,NÃO SE APLICA,SIM
THREE FROM HELL,OS 3 INFERNAIS,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,2327,2019,NÃO SE APLICA,NÃO SE APLICA,SIM
THREE THOUSAND YEARS OF LONGING,ERA UMA VEZ UM GÊNIO,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,38576,2022,NÃO SE APLICA,NÃO SE APLICA,SIM
TIA VIRGÍNIA,TIA VIRGÍNIA,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,11557,"2023, 2024",TOTAL,NÃO SE APLICA,SIM
TIA VIRGÍNIA,TIA VIRGÍNIA,SECRETARIA DE ESTADO DE CULTURA DO DISTRITO FEDERAL,BRASIL,1101,2023,TOTAL,NÃO SE APLICA,SIM
"TICK, TICK...BOOM!","TICK, TICK...BOOM!",O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,ESTADOS UNIDOS,374,"2021, 2022",NÃO SE APLICA,NÃO SE APLICA,SIM
TICKET TO PARADISE,INGRESSO PARA O PARAÍSO,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,735157,2022,NÃO SE APLICA,NÃO SE APLICA,SIM
TIL ALL ARE ONE: TRANSFORMERS 40TH ANNIVERSARY EVENT,TRANSFORMERS 40TH ANNIVERSARY EVENT,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,ESTADOS UNIDOS,344,2024,NÃO SE APLICA,NÃO SE APLICA,SIM
TILL,TILL - A BUSCA POR JUSTIÇA,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,14222,"2022, 2023",NÃO SE APLICA,NÃO SE APLICA,SIM
TILL DEATH,ATÉ A MORTE: SOBREVIVER É A MELHOR VINGANÇA,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,ESTADOS UNIDOS,26064,2022,NÃO SE APLICA,NÃO SE APLICA,SIM
TIM BURTON'S CORPSE BRIDE,NOIVA CADÁVER,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,149,2020,NÃO SE APLICA,NÃO SE APLICA,SIM
TIM LOPES - HISTÓRIAS DE ARCANJO,TIM LOPES - HISTÓRIAS DE ARCANJO,CANNES PRODUÇÕES S/A,BRASIL,1524,2014,TOTAL,NÃO SE APLICA,NÃO
TIM MAIA,TIM MAIA,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,BRASIL,776608,"2014, 2015",TOTAL,NÃO SE APLICA,NÃO
TIMBUKTU,TIMBUKTU,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,25293,"2015, 2022",NÃO SE APLICA,NÃO SE APLICA,SIM
