TITULO_ORIGINAL,TITULO_BRASIL,RAZAO_SOCIAL_DISTRIBUIDORA,PAIS_OBRA,PUBLICO,ANO
47 RONIN,47 RONINS,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,543519,2014
5 CASAS,,LANCA DISTRIBUIDORA DE FILMES LTDA,ALEMANHA,918,"2022, 2023"
5 FLIGHTS UP,RUTH & ALEX,MARES FILMES EIRELI,ESTADOS UNIDOS,21847,"2015, 2016"
6 BELOW: MIRACLE ON THE MOUNTAIN,O PODER E O IMPOSSÍVEL,WMIX DISTRIBUIDORA LTDA.,ESTADOS UNIDOS,17236,"2017, 2018"
65,65 AMEAÇA PRÉ-HISTÓRICA,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,238812,2023
7 CAJAS,7 CAIXAS,TUCUMÁN DISTRIBUIDORA DE FILMES LTDA,PARAGUAI,11301,2014
7 DAYS IN HAVANA,7 DIAS EM LA HAVANA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,ESPANHA,1630,2015
7 PRISIONEIROS,,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,BRASIL,729,"2021, 2022"
7500,VOO 7500,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,ESTADOS UNIDOS,46634,2015
7TH DWARF,AS AVENTURAS DOS SETE ANÕES,SM DISTRIBUIDORA DE FILMES LTDA,ALEMANHA,43670,2015
82 MINUTOS,,COMUNICAÇÃO ALTERNATIVA LTDA,BRASIL,158,2016
8½,8 ½,F. J. CINES LTDA,FRANÇA,3244,"2016, 2017, 2018"
97 MINUTES,97 MINUTOS,CINECOLOR DO BRASIL LTDA,ESTADOS UNIDOS,4419,2023
A ALEGRIA É A PROVA DOS NOVE,,MERCURIO PRODUCOES LTDA,BRASIL,389,2024
A ALMA QUER VOAR,,RETRATO FILMES LTDA,BRASIL,93,2023
A ARTE URBANA,,LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA,BRASIL,51,2022
A BAD MOMS CHRISTMAS,PERFEITA É A MÃE 2,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,38920,2017
A BALADA DO PROVISÓRIO,,MARIA GORDA PRODUCOES ARTISTICAS LTDA,BRASIL,20,2014
A BATALHA DE SHANGRI-LÁ,,MORO COMUNICACAO LTDA,BRASIL,142,2022
A BATALHA DO PASSINHO,,ARTE VITAL EXIBIÇÕES CINEMATOGRÁFICAS LTDA,BRASIL,41,2014
A BEAUTIFUL DAY IN THE NEIGHBORHOOD,UM LINDO DIA NA VIZINHANÇA,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,36247,2020
A BELA AMÉRICA,,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,PORTUGAL,323,2023
A BOY CALLED PO,PO,CINEMATOGRÁFICA DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,1533,"2018, 2019"
A BRUTA FLOR DO QUERER,,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,BRASIL,2903,2016
A CABEÇA DE GUMERCINDO SARAIVA,,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,5158,"2018, 2019, 2022"
A CASA DE CECÍLIA,,CLARISSA APPELT BAPTISTA SAN ROMAN,BRASIL,126,2015
A CASA ELÉTRICA,,PANDA FILMES LTDA,BRASIL,321,2014
A CIAMBRA,CIGANOS DA CIAMBRA,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,7710,2018
A CIDADE DO FUTURO,,VITRINE FILMES LTDA,BRASIL,11786,2018
A CIDADE DOS ABISMOS,,BOULEVARD FILMES LTDA,BRASIL,936,2023
A CIDADE DOS PIRATAS,,LANCA DISTRIBUIDORA DE FILMES LTDA,BRASIL,2384,"2019, 2020"
A CIDADE ONDE ENVELHEÇO,,VITRINE FILMES LTDA,PORTUGAL,9320,"2017, 2018"
A CIDADE É UMA SÓ?,,VITRINE FILMES LTDA,BRASIL,94,"2017, 2018"
A CLOCKWORK ORANGE,LARANJA MECÂNICA,CINEMARK BRASIL S.A,ESTADOS UNIDOS,13360,2014
A CLOCKWORK ORANGE,LARANJA MECÂNICA,F. J. CINES LTDA,ESTADOS UNIDOS,2227,2014
A CLOCKWORK ORANGE,LARANJA MECÂNICA,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,1249,"2015, 2020, 2023, 2024"
A COLEÇÃO INVISÍVEL,,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,1317,2014
A COLMEIA,,LANCA DISTRIBUIDORA DE FILMES LTDA,BRASIL,781,2022
A COMÉDIA DIVINA,,WMIX DISTRIBUIDORA LTDA.,BRASIL,46117,2017
A CURE FOR WELLNESS,A CURA,FOX FILM DO BRASIL LTDA,ESTADOS UNIDOS,106046,2017
A DESPEDIDA,,GATA CINE PRODUÇÕES LTDA,BRASIL,1529,2016
A DESTRUIÇÃO DE BERNARDET,,PALEOTEVE PRODUÇÃO CULTURAL LTDA,BRASIL,1355,2018
A DIVISÃO - O FILME,,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,BRASIL,7472,2020
A DOG CALLED MONEY,PJ HARVEY: UM CÃO CHAMADO DINHEIRO,ZETA FILMES LTDA,INGLATERRA,43,2021
A DOG'S JOURNEY,JUNTOS PARA SEMPRE,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.,ESTADOS UNIDOS,167263,"2019, 2020"
A DOG´S PURPOSE,QUATRO VIDAS DE UM CACHORRO,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.,ESTADOS UNIDOS,509048,2017
A DOG´S WAY HOME,A CAMINHO DE CASA,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,652651,"2019, 2020"
A ERA DOS HUMANOS,,STORM COMUNICAÇÃO E TECNOLOGIA LTDA,BRASIL,10,2023
A ESPERA DE LIZ,,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,56,2022
A ESPERANÇA É A ÚLTIMA QUE MORRE,,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,BRASIL,108191,2015
A ESTAÇÃO,,VACA AMARELA FILMES EIRELI,BRASIL,526,2024
A ESTRADA 47,,CANNES PRODUÇÕES S/A,BRASIL,33610,2015
A FAMILY MAN,UM HOMEM DE FAMÍLIA,ANTONIO FERNANDES FILMES LTDA,ESTADOS UNIDOS,19836,2017
A FAMÍLIA DIONTI,,LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA,BRASIL,3333,"2017, 2018"
A FAMÍLIA SUBMERSA,,ESFERA PRODUÇÕES CULTURAIS EIRELI,BRASIL,2538,2019
A FARRA DO CIRCO,,LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA,BRASIL,947,2014
A FEBRE,,VITRINE FILMES LTDA,ALEMANHA,529,"2020, 2021"
