TITULO_ORIGINAL,TITULO_BRASIL,RAZAO_SOCIAL_DISTRIBUIDORA,PAIS_OBRA,PUBLICO,ANO
BETHLEHEM,BELÉM: ZONA DE CONFLITO,CANNES PRODUÇÕES S/A,ALEMANHA,4755,"2014, 2015"
BETINHO-A ESPERANÇA EQUILIBRISTA,,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,2165,2015
BETINHO-A ESPERANÇA EQUILIBRISTA,,TRES TEMPOS FILMES LTDA,BRASIL,15,2016
BICHO DE SETE CABEÇAS,,GULLANE ENTRETENIMENTO S.A.,BRASIL,56,2023
BIENVENUE PARMI NOUS,SEJAM MUITO BEM-VINDOS,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,203,"2014, 2016"
BIG EYES,GRANDES OLHOS,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,79981,2015
BIG HERO 6,OPERAÇÃO BIG HERO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,2678543,"2014, 2015, 2016, 2018"
BIG JATO,,LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA,BRASIL,7775,2016
BIKES VS. CARS,BIKES VS. CARROS,MARIA FARINHA FILMES E PRODUÇÕES LTDA.,SUÉCIA,1516,"2015, 2017"
BILL & TED FACE THE MUSIC,BILL & TED: ENCARE A MÚSICA,WMIX DISTRIBUIDORA LTDA.,ESTADOS UNIDOS,22388,2020
BINGO - O REI DAS MANHÃS,,WARNER BROS. (SOUTH) INC.,BRASIL,250112,2017
BIO,,BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP,BRASIL,896,2019
BIOCÊNTRICOS,,AIUÊ PRODUTORA E EDITORA LTDA - ME,BRASIL,3408,2023
BIR ZAMANLAR ANADOLU'DA,ERA UMA VEZ NA ANATOLIA,MOSTRA INTERNACIONAL DE CINEMA LTDA,TURQUIA,268,"2014, 2016"
BIRDMAN: OR (THE UNEXPECTED VIRTUE OF IGNORANCE),BIRDMAN OU A INESPERADA VIRTUDE DA IGNORÂNCIA,FOX FILM DO BRASIL LTDA,ESTADOS UNIDOS,419183,"2015, 2016"
BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN),AVES DE RAPINA (ARLEQUINA E SUA EMANCIPAÇÃO FANTABULOSA),WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,2005068,"2020, 2021"
"BIRDS, THE",OS PÁSSAROS,CIRCUITO CINEARTE LTDA,ESTADOS UNIDOS,4313,"2014, 2015"
BIRTH OF THE DRAGON,A ORIGEM DO DRAGÃO,WMIX DISTRIBUIDORA LTDA.,CANADÁ,47648,"2017, 2018"
BIS ANS ENDE DER NACHT,ATÉ O CAIR DA NOITE,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,ALEMANHA,729,2024
BITTER HARVEST,COLHEITA AMARGA,ANTONIO FERNANDES FILMES LTDA,CANADÁ,1903,2018
BIXA TRAVESTY,,CINEMA ARTEPLEX LTDA.,BRASIL,17378,"2019, 2020"
BIZARROS PEIXES DAS FOSSAS ABISSAIS,,BOULEVARD FILMES LTDA,BRASIL,2910,2024
BLACK ADAM,ADÃO NEGRO,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,4271092,"2022, 2023"
BLACK BUTLER,O MORDOMO DE PRETO,SC COMUNICAÇÕES LTDA,JAPÃO,329,2016
BLACK MASS,ALIANÇA DO CRIME,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,216907,2015
BLACK PANTHER,PANTERA NEGRA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,7435685,"2018, 2019, 2020"
BLACK PANTHER: WAKANDA FOREVER,PANTERA NEGRA: WAKANDA PARA SEMPRE,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,5817769,"2022, 2023, 2024"
BLACK RIO! BLACK POWER!,,INSTITUTO TATURANA,BRASIL,2570,2024
BLACK WATER: ABYSS,CROCODILOS - A MORTE TE ESPERA,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,AUSTRÁLIA,12120,2022
BLACK WIDOW,VIÚVA NEGRA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,2008254,"2021, 2022"
BLACKBERRY,BLACKBERRY,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,CANADÁ,5534,"2023, 2024"
BLACKKKLANSMAN,INFILTRADO NA KLAN,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.,ESTADOS UNIDOS,205806,"2018, 2019"
BLACKLIGHT,AGENTE DAS SOMBRAS,ANTONIO FERNANDES FILMES LTDA,AUSTRÁLIA,79336,2022
BLACKPINK WORLD TOUR [BORN PINK] IN CINEMAS,BLACKPINK WORLD TOUR [BORN PINK] IN CINEMAS,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,CORÉIA DO SUL,53049,2024
BLADE RUNNER,BLADE RUNNER - O CAÇADOR DE ANDRÓIDES,CINEMARK BRASIL S.A,ESTADOS UNIDOS,9454,2015
BLADE RUNNER,BLADE RUNNER - O CAÇADOR DE ANDRÓIDES,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,1934,"2020, 2023, 2024"
BLADE RUNNER 2049,BLADE RUNNER 2049,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,906708,"2017, 2018"
BLAIR WITCH,BRUXA DE BLAIR,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,804066,"2016, 2020"
BLANCANIEVES,BRANCA DE NEVE,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,BÉLGICA,321,"2014, 2016, 2017"
BLAST / DÉFLAGRATIONS,ARMADILHA EXPLOSIVA,A2 DISTRIBUIDORA DE FILMES LTDA EPP,FRANÇA,63,2022
"BLEEDER, THE",PUNHOS DE SANGUE,ANTONIO FERNANDES FILMES LTDA,ESTADOS UNIDOS,3321,2017
BLENDED,JUNTOS E MISTURADOS,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,1983425,2014
BLIND,BLIND,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,HOLANDA,6231,2015
BLINDED BY THE LIGHT,A MÚSICA DA MINHA VIDA,WARNER BROS. (SOUTH) INC.,REINO UNIDO,19853,"2019, 2020"
BLINDSPOTTING,PONTO CEGO,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,3690,2018
BLINK TWICE,PISQUE DUAS VEZES,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,105393,2024
BLITZ,,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,264,"2018, 2019"
"BLITZ, O FILME",,VIRALATA FILMES LTDA,BRASIL,402,2020
BLOOD FATHER,HERANÇA DE SANGUE,ANTONIO FERNANDES FILMES LTDA,ESTADOS UNIDOS,62496,2016
BLOOD MONEY,DINHEIRO DE SANGUE,CANNES PRODUÇÕES S/A,ESTADOS UNIDOS,52,2014
BLOODSHOT,BLOODSHOT,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,191726,2020
BLOW-UP,BLOW-UP - DEPOIS DAQUELE BEIJO,ZETA FILMES LTDA,ESTADOS UNIDOS,8560,"2016, 2017, 2018"
BLUE BEETLE,BESOURO AZUL,STARK'S CINEMA E LANCHONETE LTDA.,ESTADOS UNIDOS,1199,2023
BLUE BEETLE,BESOURO AZUL,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,2110250,"2023, 2024"
BLUE JASMINE,BLUE JASMINE,WMIX DISTRIBUIDORA LTDA.,ESTADOS UNIDOS,49281,"2014, 2015, 2016, 2017"
BLUE JEAN,BLUE JEAN,SYNAPSE BRAZIL PRODUCTION AND DISTRIBUTION LTDA,REINO UNIDO,2895,"2023, 2024"
BLUE LOCK: EPISODE NAGI,BLUE LOCK: O FILME - EPISÓDIO NAGI,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,JAPÃO,5722,2024
BLUE WHALE,O JOGO DA MORTE,SM DISTRIBUIDORA DE FILMES LTDA,RÚSSIA,103484,2024
BOA NOITE,,BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP,BRASIL,23,2021
BOA SORTE,,WMIX DISTRIBUIDORA LTDA.,BRASIL,145307,"2014, 2015"
BOB CUSPE - NÓS NÃO GOSTAMOS DE GENTE,,VITRINE FILMES LTDA,BRASIL,1565,"2021, 2022"
BOB MARLEY: ONE LOVE,BOB MARLEY: ONE LOVE,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,1266703,2024
BOCA DE LOBA,,OLHAR DISTRIBUICAO DE FILMES LTDA,BRASIL,117,2018
BOCA DE OURO,,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,1022,2020
BOCAINA,,MUIRAQUITA FILMES E PRODUCOES ARTISTICAS LTDA,BRASIL,117,2024
BODIES BODIES BODIES,MORTE MORTE MORTE,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,107446,2022
BOHEMIAN RHAPSODY,BOHEMIAN RHAPSODY,FOX FILM DO BRASIL LTDA,ESTADOS UNIDOS,720559,"2018, 2019"
BOI NEON,,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,BRASIL,34782,"2016, 2017"
BOILING POINT,O CHEF,SYNAPSE BRAZIL PRODUCTION AND DISTRIBUTION LTDA,REINO UNIDO,1782,2022
BOMBSHELL,O ESCÂNDALO,SM DISTRIBUIDORA DE FILMES LTDA,CANADÁ,162185,"2019, 2020"
BONES AND ALL,ATÉ OS OSSOS,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,29496,"2022, 2023"
BONI BONITA,,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,ARGENTINA,77,2020
"BONIFÁCIO, O FUNDADOR DO BRASIL",,M C VENTURA PRODUÇÕES CINEMATOGRÁFICAS EIRELI,BRASIL,3749,2018
"BONNARD, PIERRE ET MARTHE",A MUSA DE BONNARD,ANTONIO FERNANDES FILMES LTDA,BÉLGICA,5121,2024
BONNE MÈRE,A BOA MÃE,ZETA FILMES LTDA,FRANÇA,598,2022
BONNIE & CLYDE,BONNIE & CLYDE - UMA RAJADA DE BALAS,CINEMARK BRASIL S.A,ESTADOS UNIDOS,2149,2014
BONNIE & CLYDE,BONNIE & CLYDE - UMA RAJADA DE BALAS,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,184,"2021, 2023"
BOOK CLUB,DO JEITO QUE ELAS QUEREM,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,164072,2018
BOOK CLUB: THE NEXT CHAPTER,DO JEITO QUE ELAS QUEREM - O PRÓXIMO CAPÍTULO,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,36316,"2023, 2024"
BOOKSMART,FORA DE SÉRIE,WMIX DISTRIBUIDORA LTDA.,ESTADOS UNIDOS,9698,"2019, 2020"
BORDER,BORDER,ARTEPLEX DISTRIBUIDORA LTDA,DINAMARCA,29399,"2019, 2020"
BORDERLANDS,BORDERLANDS,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,98917,2024
BORG/MCENROE,BORG VS MCENROE,OMF SERVICOS & CONSULTORIA LTDA,DINAMARCA,7518,2017
BORRASCA,,TUCUMÁN DISTRIBUIDORA DE FILMES LTDA,BRASIL,309,2019
BOSS LEVEL,MATE OU MORRA,WMIX DISTRIBUIDORA LTDA.,ESTADOS UNIDOS,89771,2021
BOUNDARIES,LIMITES,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,CANADÁ,12246,2018
BOY FROM HEAVEN,GAROTO DOS CÉUS,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,DINAMARCA,3011,2023
"BOY GEORGE AND CULTURE CLUB “ONE WORLD, ONE LOVE”","BOY GEORGE & CULTURE CLUB “ONE WORLD, ONE LOVE”",CINECOLOR DO BRASIL LTDA,ESTADOS UNIDOS,14,2023
BOY KILLS WORLD,CONTRA O MUNDO,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,16468,2024
BOY MEETS GIRL,BOY MEETS GIRL,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,FRANÇA,2530,"2014, 2015"
BOYHOOD,BOYHOOD - DA INFÂNCIA À JUVENTUDE,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,164926,"2014, 2015"
BOÎTE NOIRE,CAIXA PRETA,BONFILM PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA,BÉLGICA,743,2022
BR 716,,FORTE FILMES PRODUÇÕES ARTÍSTICAS LTDA,BRASIL,10274,"2016, 2017"
BRADO,BRADO,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,ITÁLIA,292,"2023, 2024"
BRAD´S STATUS,O ESTADO DAS COISAS,WMIX DISTRIBUIDORA LTDA.,ESTADOS UNIDOS,38996,2017
BRAM STOKER'S DRACULA,DRÁCULA DE BRAM STOKER,CINEMARK BRASIL S.A,ESTADOS UNIDOS,2682,2015
BRANAGH THEATRE LIVE: ROMEO AND JULIET,ROMEO E JULIETA,CINEMARK BRASIL S.A,INGLATERRA,249,2016
BRANCO SAI PRETO FICA,,VITRINE FILMES LTDA,BRASIL,19012,"2015, 2016"
BRASIL RICO - UMA DISCUSSÃO SOBRE PROSPERIDADE,,CULTURA MAIOR COMUNICACAO E CULTURA LTDA. - ME,BRASIL,62,2016
BRASIL S/A,,INQUIETA CINEMA CULTURA E COMUNICAÇÃO LTDA - ME,BRASIL,2385,2016
BRASIL ÁFRICA - UM ELO NATURAL,,BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP,BRASIL,24,2022
"BRASIL, DNA ÁFRICA",,BSB SERVIÇOS CINEGROUP LTDA,BRASIL,486,2016
BRASILEIRÍSSIMA,,BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP,BRASIL,85,2022
"BRASILIANAS: CANÇÕES POPULARES (""AZULÃO"" E O ""PINHAL"")",,MARIA DA GRACA HUGHES,BRASIL,48,2016
BRASSERIE ROMANTIEK,BISTRÔ ROMANTIQUE,ESFERA PRODUÇÕES CULTURAIS EIRELI,BÉLGICA,35396,"2014, 2015"
BRAVAS DONNAS – MEMÓRIA ITALIANA,,LATINAMERICA ENTRETENIMENTO INTERNACIONAL LTDA,BRASIL,103,2018
BRAVE,VALENTE,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,5221,"2014, 2016"
BREAKFAST AT TIFFANY'S,BONEQUINHA DE LUXO,CINEMARK BRASIL S.A,ESTADOS UNIDOS,6556,2014
BREAKTHROUGH,SUPERAÇÃO - O MILAGRE DA FÉ,FOX FILM DO BRASIL LTDA,ESTADOS UNIDOS,1719931,2019
BREAKTHROUGH,SUPERAÇÃO - O MILAGRE DA FÉ,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,87,2019
BREATHE,UMA RAZÃO PARA VIVER,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,REINO UNIDO,33906,2017
BREATHE IN,PAIXÃO INOCENTE,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,3383,2014
BREVE HISTÓRIA DO PLANETA VERDE,,EMBAUBA FILMES LTDA,ARGENTINA,345,"2022, 2023"
BRICHOS - A FLORESTA É NOSSA,,TECNOKENA AUDIOVISUAL E MULTIMIDIA EIRELI,BRASIL,14,2014
BRICHOS 3 - MEGAVIRUS,,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,BRASIL,1048,2023
BRICK MANSIONS,13° DISTRITO (2014),ANTONIO FERNANDES FILMES LTDA,FRANÇA,96773,2014
BRIDGE OF SPIES,PONTE DOS ESPIÕES,FOX FILM DO BRASIL LTDA,ESTADOS UNIDOS,424991,"2015, 2016"
BRIDGET JONE'S BABY,O BEBÊ DE BRIDGET JONES,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,313184,2016
BRIGHT DAYS AHEAD,OS BELOS DIAS,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,6256,2014
BRIGHTBURN,BRIGHTBURN - FILHO DAS TREVAS,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,77584,2019
BRINCANTE,,CIRCUITO CINEARTE LTDA,BRASIL,7162,"2014, 2015"
BRITTANY RUNS A MARATHON,A MARATONA DE BRITTANY,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,2380,2019
BROKER,BROKER - UMA NOVA CHANCE,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,JAPÃO,11303,2023
BROOKLYN,BROOKLIN,SM DISTRIBUIDORA DE FILMES LTDA,CANADÁ,90251,2016
BROS,MAIS QUE AMIGOS,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,18213,2022
BRUNA SURFISTINHA,,WMIX DISTRIBUIDORA LTDA.,BRASIL,19,2019
BRUXARIAS,,VITRINE FILMES LTDA,ESPANHA,722,"2017, 2018"
BTS PERMISSION TO DANCE ON STAGE - SEOUL: LIVE VIEWING,BTS PERMISSION TO DANCE ON STAGE - SEOUL: LIVE VIEWING,CINECOLOR DO BRASIL LTDA,CORÉIA DO SUL,71640,2022
BUGIGANGUE NO ESPAÇO,,WMIX DISTRIBUIDORA LTDA.,BRASIL,113209,2017
BULLET TRAIN,TREM-BALA,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,619845,2022
BUMBLEBEE,BUMBLEBEE,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,1604485,"2018, 2019, 2020"
BURNING,EM CHAMAS,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,CORÉIA DO SUL,14424,"2018, 2019"
BURNT,PEGANDO FOGO,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,358564,"2015, 2016, 2019, 2020"
BWAKAW,BWAKAW,MOSTRA INTERNACIONAL DE CINEMA LTDA,FILIPINAS,273,2017
BY THE GRACE OF GOD,GRAÇAS A DEUS,ANTONIO FERNANDES FILMES LTDA,BÉLGICA,7011,2019
BY THE SEA,À BEIRA MAR,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,27584,"2015, 2016"
BYE BYE JAQUELINE,,LANCA DISTRIBUIDORA DE FILMES LTDA,BRASIL,616,"2017, 2018"
C'EST L'AMOUR,É O AMOR,OMF SERVICOS & CONSULTORIA LTDA,FRANÇA,559,2016
C'EST LA VIE,ASSIM É A VIDA,SM DISTRIBUIDORA DE FILMES LTDA,FRANÇA,19509,"2017, 2018"
C'MON C'MON,SEMPRE EM FRENTE,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,12862,2022
CABEÇA DE NEGO,,CORTE SECO FILMES LTDA,BRASIL,29,2022
CABEÇA DE NÊGO,,CORTE SECO FILMES LTDA,BRASIL,2203,2021
CABRAS DA PESTE,,SM DISTRIBUIDORA DE FILMES LTDA,BRASIL,122,2020
CABRITO,,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,27,2020
CADA VEZ MAIS LONGE,,E C COSTA PRODUCOES ARTISTICAS LTDA,BRASIL,342,2017
CAFFE,CAFÉ,ANTONIO FERNANDES FILMES LTDA,CHINA,1051,2018
CAFI,,LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA,BRASIL,472,2023
CAFÉ - UM DEDO DE PROSA,,CINEMATOGRÁFICA POLIFILMES LTDA-ME,BRASIL,104,2017
CAFÉ COM CANELA,,LABAV LABORATORIO AUDIOVISUAL LTDA,BRASIL,10523,2018
CAFÉ SOCIETY,CAFÉ SOCIETY,WMIX DISTRIBUIDORA LTDA.,ESTADOS UNIDOS,341792,"2016, 2017"
CAKE,CAKE UMA RAZÃO PARA VIVER,ANTONIO FERNANDES FILMES LTDA,ESTADOS UNIDOS,33153,2015
CALIFÓRNIA,,VITRINE FILMES LTDA,BRASIL,13988,"2015, 2016, 2017"
CALL ME BY YOUR NAME,ME CHAME PELO SEU NOME,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,BRASIL,174028,"2017, 2018"
CALL OF THE WILD,O CHAMADO DA FLORESTA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,187898,2020
CALLADO,,BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP,BRASIL,116,2021
CAMILLE CLAUDEL 1915,"CAMILLE CLAUDEL, 1915",ANTONIO FERNANDES FILMES LTDA,FRANÇA,873,"2014, 2016"
CAMINHO DE VOLTA.,,VILACINE SERVIÇOS CINEMATOGRÁFICOS S.A.,BRASIL,813,"2015, 2016"
CAMINHO DO MAR,,BANG BANG FILMES PRODUÇÕES EIRELI,BRASIL,1037,2018
CAMINHOS MAGNÉTICOS,,ESFERA PRODUÇÕES CULTURAIS EIRELI,PORTUGAL,92,2019
CAMOCIM,,VITRINE FILMES LTDA,BRASIL,1627,"2018, 2019"
CAMPO,CAMPO,BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP,PORTUGAL,39,2020
CAMPO DE JOGO,,TUCUMÁN DISTRIBUIDORA DE FILMES LTDA,BRASIL,1486,"2015, 2016"
CAMPO GRANDE,,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,BRASIL,4854,2016
CAMPUS SANTO,,TUCUMÁN DISTRIBUIDORA DE FILMES LTDA,BRASIL,48,2021
CAN YOU EVER FORGIVE ME?,PODERIA ME PERDOAR?,FOX FILM DO BRASIL LTDA,ESTADOS UNIDOS,9334,2019
CANASTRA SUJA,,LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA,BRASIL,2071,2018
CANDYMAN,A LENDA DE CANDYMAN,WARNER BROS. (SOUTH) INC.,CANADÁ,106602,2021
CANO SERRADO,,H2O DISTRIBUIDORA DE FILMES LTDA,BRASIL,1150,2022
CANTINFLAS,CANTINFLAS -  A MAGIA DA COMÉDIA,SM DISTRIBUIDORA DE FILMES LTDA,MÉXICO,2342,2014
CANÇÃO AO LONGE,,VITRINE FILMES LTDA,BRASIL,1238,2023
CANÇÃO DA VOLTA,,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,2449,"2016, 2017"
CAPHARNAÜM,CAFARNAUM,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,LÍBANO,56167,"2019, 2020"
CAPITU E O CAPITULO,,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,4695,"2023, 2024"
"CAPOEIRA, UM PASSO A DOIS",,DAZA PRODUÇÃO CULTURAL LTDA ME,BRASIL,347,2017
CAPRICE,ROMANCE À FRANCESA,MARES FILMES EIRELI,FRANÇA,11207,"2016, 2017"
CAPTAIN AMERICA: CIVIL WAR,CAPITÃO AMÉRICA: GUERRA CIVIL,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,9571700,"2016, 2017"
CAPTAIN AMERICA: THE WINTER SOLDIER,CAPITÃO AMÉRICA 2: O SOLDADO INVERNAL,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,4645415,"2014, 2015"
CAPTAIN FANTASTIC,CAPITÃO FANTÁSTICO,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.,ESTADOS UNIDOS,102103,"2016, 2017, 2018, 2020"
CAPTAIN MARVEL,CAPITÃ MARVEL,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,8993542,"2019, 2020, 2021, 2022"
CAPTAIN PHILLIPS,CAPITAO PHILLIPS,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,37607,2014
CAPTAIN UNDERPANTS: THE FIRST EPIC MOVIE,AS AVENTURAS DO CAPITÃO CUECA - O FILME,FOX FILM DO BRASIL LTDA,ESTADOS UNIDOS,571885,"2017, 2018"
CAPTIVE,EM NOME DE DEUS,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,ALEMANHA,55,2014
CAPTIVE STATE,A REBELIÃO,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,22732,2019
CAPTIVES,BAILE DAS LOUCAS,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,2042,2024
CAPTURE THE FLAG,NO MUNDO DA LUA,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,ESPANHA,158372,"2016, 2017"
CARCEREIROS - O FILMES,,WMIX DISTRIBUIDORA LTDA.,BRASIL,193717,"2019, 2020"
CARLINHOS E CARLÃO,,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,BRASIL,97,2020
CARLOS: THE SANTANA JOURNEY GLOBAL PREMIERE,CARLOS: THE SANTANA JOURNEY GLOBAL PREMIERE,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,ESTADOS UNIDOS,285,2023
CARNAGE,DEUS DA CARNIFICINA,WMIX DISTRIBUIDORA LTDA.,ALEMANHA,230,2015
CARNIVORES,CARNÍVORAS,BONFILM PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA,BÉLGICA,1692,2018
CAROL,CAROL,MARES FILMES EIRELI,FRANÇA,145003,"2016, 2017"
CARRIE,CARRIE A ESTRANHA,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,32028,2014
CARRO REI,,BOULEVARD FILMES LTDA,BRASIL,1181,2022
CARROSSEL - O FILME,,SM DISTRIBUIDORA DE FILMES LTDA,BRASIL,2563261,"2015, 2016"
CARROSSEL 2 - O SUMIÇO DE MARIA JOAQUINA,,SM DISTRIBUIDORA DE FILMES LTDA,BRASIL,2525487,"2016, 2020"
CARS,CARROS,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,2248,2015
CARS 2,CARROS 2,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,6972,"2014, 2015"
CARS 3,CARROS 3,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,2513850,"2017, 2018, 2019"
CARTA PARA ALÉM DOS MUROS,,MIRÍADE FILMES E PRODUÇÕES ARTÍSTICAS LTDA,BRASIL,3898,2019
CARTAS DA GUERRA,CARTAS DA GUERRA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,PORTUGAL,3364,2017
CARTAS PARA UM LADRÃO DE LIVROS,,BOUTIQUE FILMES E PRODUÇÕES LTDA.,BRASIL,359,2018
CARVANA,,MAC COMUNICAÇÃO E PRODUÇÃO LTDA,BRASIL,711,"2018, 2019"
CARVÃO,,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,ARGENTINA,5493,"2022, 2023"
CASA DE ANTIGUIDADES,,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,782,2022
CASA GRANDE,,FILM CONNECTION DISTRIBUIDORA DE FILMES LTDA,BRASIL,40433,"2015, 2016"
CASA IZABEL,,MORO COMUNICACAO LTDA,BRASIL,933,2024
