TITULO_ORIGINAL,CPB,DATA_EMISSAO_CPB,SITUACAO_OBRA,PART_PATRIMONIAL_BRASILEIRA,ACORDO_COPRODUCAO
ALMA DEL DESIERTO,B2400346300000,04/09/2024,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
AMAZON ADVENTURE,B1800223100000,22/05/2018,DEFERIDO,MINORITÁRIA,
AMAZÔNIA - A ÚLTIMA FRONTEIRA,B1201623800000,03/07/2012,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA FRANCESA
AMAZÔNIA PLANETA VERDE,B1402080700000,30/01/2014,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA FRANCESA
"AMENZE, ENTRE DOIS MUNDOS",B1600756400000,29/11/2016,DEFERIDO,MINORITÁRIA,
AMIGO SECRETO,B2200201200000,23/05/2022,DEFERIDO,MAJORITÁRIA,
AMO TE IMENSO,B2300526900000,23/11/2023,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
AMOR REBELDE,B2300240900000,19/06/2023,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
AMORES CUBANOS,B2000207600000,27/05/2020,DEFERIDO,MAJORITÁRIA,
AMÉRICA,B1201604900000,29/05/2012,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
ANA. SEM TITULO,B2000319700000,03/08/2020,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
ANGIE,B1301759600000,06/03/2013,DEFERIDO,MAJORITÁRIA,
"ANHANGÁ, ESPÍRITO DA AMAZÔNIA",B1500793500000,19/10/2015,DEFERIDO,MAJORITÁRIA,
ANOTHER FOREVER,B1700048800000,31/01/2017,DEFERIDO,MAJORITÁRIA,
AOS NOSSOS FILHOS,B2100115300000,17/03/2021,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA FRANCESA
APOCALIPSE NOS TRÓPICOS,B2400357100000,10/09/2024,DEFERIDO,MAJORITÁRIA,
AQUARIUS,B1600478600000,26/07/2016,DEFERIDO,MAJORITÁRIA,
AQUI TEM HISTÓRIA,B2200312300000,19/08/2022,DEFERIDO,MAJORITÁRIA,
ARAÑA,B2100294600000,14/07/2021,DEFERIDO,MINORITÁRIA,AJUSTE COMPLEMENTAR ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA DO CHILE NO ÂMBITO DA COOPERAÇÃO E DA COPRODUÇÃO CINEMATOGRÁFICA
ARCA DE NOÉ,B2400283000000,16/07/2024,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO AUDIOVISUAL ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA DA ÍNDIA
ARQUITETANDO - 2ª TEMPORADA,B1500405000000,21/05/2015,DEFERIDO,MAJORITÁRIA,
ARTE E CAOS,B2100452900000,18/10/2021,DEFERIDO,MAJORITÁRIA,
"ARTIGAS (ARTIGAS, LA REDOTA)",B1301712400000,04/01/2013,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
AS BOAS MANEIRAS,B1700450500000,11/09/2017,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA FRANCESA
AS COISAS NÃO SÃO FEITAS POR ACASO,B1302048000000,16/12/2013,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
AS DOZE ESTRELAS,B1101385900000,24/03/2011,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
AS HERDEIRAS,B1800293900000,03/07/2018,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
AS NOVAS MISSÕES DO PEIXONAUTA,B1301982700000,09/10/2013,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO AUDIOVISUAL ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DO CANADÁ
"ASTRO, UMA FÁBULA URBANA EM UM RIO DE JANEIRO MÁGICO",B1201670700000,15/10/2012,DEFERIDO,MAJORITÁRIA,
ATÉ QUE A MÚSICA PARE,B2300468900000,24/10/2023,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA ITALIANA E TROCA DE NOTAS
AURORA,B2400217100000,23/05/2024,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA FRANCESA
AUSÊNCIA,B1500276200000,07/04/2015,DEFERIDO,MAJORITÁRIA,AJUSTE COMPLEMENTAR ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA DO CHILE NO ÂMBITO DA COOPERAÇÃO E DA COPRODUÇÃO CINEMATOGRÁFICA
AVÓ DEZANOVE E O SEGREDO DO SOVIÉTICO,B2000332000000,12/08/2020,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
B SIDE OF THE ROAD,B2200291200000,28/07/2022,DEFERIDO,MAJORITÁRIA,
BACURAU,B1900232600000,16/05/2019,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA FRANCESA
BASTARDOS E ARMADOS,B2100525700000,06/12/2021,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA ITALIANA E TROCA DE NOTAS
BATALHA DE PIPAS,B1402437900000,08/10/2014,DEFERIDO,MAJORITÁRIA,
BEATRIZ,B1500711400000,18/09/2015,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
BELO MONTE: UM MUNDO ONDE TUDO É POSSÍVEL,B1600750800000,24/11/2016,DEFERIDO,MAJORITÁRIA,
BEM-VINDA VIOLETA,B2300147900000,14/04/2023,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA ARGENTINA
BENZINHO,B1800106900000,08/03/2018,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
BIG BANG,B2200454800000,01/12/2022,DEFERIDO,IGUALITÁRIA,
BOI NEON,B1500798600000,21/10/2015,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
BONI BONITA,B1900302000000,27/06/2019,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA ARGENTINA
BRASIL SELVAGEM:PANTANAL,B1600787100000,21/12/2016,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO AUDIOVISUAL ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DO CANADÁ
BRASIL SOMOS NÓS,B1301934600000,26/08/2013,DEFERIDO,MINORITÁRIA,
"BRASIL, BRASIL!",B1500871200000,25/11/2015,DEFERIDO,MINORITÁRIA,
"BRASIL, BRASIL! - VERSÃO REDUZIDA",B1500748900000,02/10/2015,DEFERIDO,MINORITÁRIA,
BRASILEIRINHO,B0600578400000,30/08/2006,DEFERIDO,MAJORITÁRIA,
BREVE HISTÓRIA DO PLANETA VERDE,B1900541900000,29/10/2019,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA ARGENTINA
BREVE MIRAGEM DE SOL,B1900263400000,05/06/2019,DEFERIDO,MAJORITÁRIA,
BRUXARIAS,B1500464600000,12/06/2015,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
BUDAPESTE,B0900988600000,19/02/2009,DEFERIDO,IGUALITÁRIA,
BUDAPEST_V4_FINAL2,B2000079200000,03/03/2020,DEFERIDO,MAJORITÁRIA,
CACÁ BUENO - O SONHO DO MUNDIAL,B1500105600000,02/02/2015,DEFERIDO,MAJORITÁRIA,
CADÊ HELENY?,B2200086900000,04/03/2022,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
CAFÉ DOS MAESTROS,B0800935300000,24/10/2008,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA ARGENTINA
"CALEUCHE, O CHAMADO DO MAR",B1301815500000,22/05/2013,DEFERIDO,MINORITÁRIA,
CALL GIRL,B0800880800000,19/06/2008,DEFERIDO,IGUALITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
CAMINHOS ARGENTINOS,B2300289400000,18/07/2023,DEFERIDO,MAJORITÁRIA,
CAMINHOS MAGNÉTICOS,B1900057300000,06/02/2019,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
CAMPO GRANDE,B1500344800000,30/04/2015,DEFERIDO,MAJORITÁRIA,
CANTANDO COM PING E PONG,B1800435500000,17/09/2018,DEFERIDO,MAJORITÁRIA,
CANTANDO COM PING E PONG CLIPES MUSICAIS,B1900611300000,11/12/2019,DEFERIDO,MAJORITÁRIA,
CAPITÃES DA AREIA,B1101496800000,12/09/2011,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
CAPOEIRA A DANÇA DA LIBERDADE,B0901034000000,18/06/2009,DEFERIDO,MAJORITÁRIA,
CARMO,B0800891600000,23/07/2008,DEFERIDO,IGUALITÁRIA,
CARNE,B2000038200000,29/01/2020,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O BRASIL E A ESPANHA
CARTAS MARCADAS,B2200418000000,09/11/2022,DEFERIDO,MAJORITÁRIA,
CARVÃO,B2200312700000,19/08/2022,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
CASA DE ANTIGUIDADES,B2000429100000,19/10/2020,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA FRANCESA
CASA FLUTUANTE,B2400370800000,18/09/2024,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
CASTELO DE TERRA,B1900590500000,04/12/2019,DEFERIDO,MINORITÁRIA,
CAÇADORES DE CAVERNAS,B2400063100000,15/02/2024,DEFERIDO,MAJORITÁRIA,
CHE  MEMÓRIAS DE UM ANO SECRETO,B2000129400000,01/04/2020,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA ARGENTINA
CHICO VENTANA TAMBÉM QUERIA TER UM SUBMARINO,B2000433100000,21/10/2020,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
CHUVA É CANTORIA NA ALDEIA DOS MORTOS,B1800515000000,30/10/2018,DEFERIDO,MAJORITÁRIA,
CIDADE DE PLÁSTICO,B1001133500000,07/01/2010,DEFERIDO,MAJORITÁRIA,
CIDADE PÁSSARO,B1900583200000,27/11/2019,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA FRANCESA
CINCO DA TARDE,B2400144100000,10/04/2024,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
CINZENTO E NEGRO,B1600340900000,16/05/2016,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
COMBOIO DE SAL E AÇÚCAR,B1700249500000,19/05/2017,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
CONTACTADO,B2000151700000,15/04/2020,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
CONTINENTE,B2400330900000,21/08/2024,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
CORA,B1900148000000,27/03/2019,DEFERIDO,MAJORITÁRIA,
CORAÇÃO DE LEÃO,B1302055400000,19/12/2013,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
CUPCAKE AND DINOSAUR 2ª TEMPORADA,B1900157500000,03/04/2019,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO AUDIOVISUAL ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DO CANADÁ
CUPCAKE E DINOSSAURO 1ª TEMPORADA,B1800437500000,17/09/2018,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO AUDIOVISUAL ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DO CANADÁ
CÂMERA SELVAGEM - COM CRISTIAN DIMITRIUS,B1600421700000,30/06/2016,DEFERIDO,MAJORITÁRIA,
"CÉU DE SUELY, O",B0600587200000,22/09/2006,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA BRASIL-ALEMANHA
DALIA E O LIVRO VERMELHO,B2400354600000,10/09/2024,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
DAWSON ISLA 10,B1001303400000,23/09/2010,DEFERIDO,MINORITÁRIA,AJUSTE COMPLEMENTAR ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA DO CHILE NO ÂMBITO DA COOPERAÇÃO E DA COPRODUÇÃO CINEMATOGRÁFICA
DE PASSAGEM,B0300040300000,13/05/2005,DEFERIDO,IGUALITÁRIA,
DE VEZ EM QUANDO EU ARDO,B2100371200000,01/09/2021,DEFERIDO,IGUALITÁRIA,
DE VOLTA AO MARACANÃ,B1800422000000,11/09/2018,DEFERIDO,MINORITÁRIA,
DESCALÇO SOBRE A TERRA VERMELHA,B1402284400000,01/09/2014,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
DESCONTROLADOS,B1402707500000,19/11/2014,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
DESERTO PARTICULAR,B2100408300000,21/09/2021,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
DESMUNDO,B0200001300000,09/09/2005,DEFERIDO,IGUALITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
DESTERRO,B1900545200000,01/11/2019,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA ARGENTINA
"DIABO A QUATRO, O",B0400129500000,13/06/2005,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA FRANCESA
DIAMANTINO,B1800445100000,20/09/2018,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
DIOS ME LIBRE,B1201585800000,27/04/2012,DEFERIDO,MINORITÁRIA,AJUSTE COMPLEMENTAR ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA DO CHILE NO ÂMBITO DA COOPERAÇÃO E DA COPRODUÇÃO CINEMATOGRÁFICA
DIVINO AMOR,B1900232700000,16/05/2019,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
DIVÃ A 2,B1500335800000,28/04/2015,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA ARGENTINA
DIZER ADEUS,B2400117600000,19/03/2024,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
DIÁRIO DE UM NOVO MUNDO,B0500294600000,05/07/2005,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
DIÁRIO DE UMA BUSCA,B1101413800000,29/04/2011,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA FRANCESA
DJON ÁFRICA,B1800422100000,11/09/2018,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
DO AMOR NINGUEM FOGE,B2200311400000,19/08/2022,DEFERIDO,MAJORITÁRIA,
DOIDAS E SANTAS,B1500812200000,03/11/2015,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
DOIS PERDIDOS NUMA NOITE SUJA,B0400145800000,12/08/2005,DEFERIDO,IGUALITÁRIA,
"DOLORES - UMA MULHER, DOIS AMORES",B1700045100000,27/01/2017,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
DOMINGO,B1800502000000,23/10/2018,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA FRANCESA
DORES & AMORES,B2100413100000,24/09/2021,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
DORMIR DE OLHOS ABERTOS,B2400318700000,09/08/2024,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
DOT.COM,B0700752700000,27/08/2007,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
DUAS MULHERES,B1001192900000,30/04/2010,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
DUELO DE MÃES,B1600690300000,18/10/2016,DEFERIDO,MAJORITÁRIA,
DUELO DE MÃES - 2ª TEMPORADA,B1700110400000,09/03/2017,DEFERIDO,MAJORITÁRIA,
EL (IM)POSIBLE OLVIDO,B1700146800000,28/03/2017,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
EL ARDOR,B1402130700000,18/03/2014,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
EL AUGE DEL HUMANO 3,B2400244500000,14/06/2024,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
EL EMPLEADO Y EL PATRÓN,B2100271900000,30/06/2021,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
EL PADRE DE GARDEL,B1402237500000,17/07/2014,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
ELE NÃO SABIA HISTÓRIAS,B2300316900000,02/08/2023,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA ARGENTINA
EMBARGO,B1101365800000,17/02/2011,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
ENSAIO SOBRE A CEGUEIRA,B0800867500000,12/05/2008,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO AUDIOVISUAL ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DO CANADÁ
"ENTRE NÓS, UM SEGREDO",B2000436900000,22/10/2020,DEFERIDO,MAJORITÁRIA,
ENTRE OS DEDOS,B0800956800000,02/12/2008,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
ENTRE VALES,B1301935400000,26/08/2013,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
ERA O HOTEL CAMBRIDGE,B1600690600000,18/10/2016,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA FRANCESA
"ERNESTO, O EXTERMINADOR DE SERES MONSTRUOSOS E OUTRAS PORCARIAS",B1600477000000,25/07/2016,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
ESCOLA PRA CACHORRO,B0901027800000,04/06/2009,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO AUDIOVISUAL ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DO CANADÁ
ESCOLA PRA CACHORRO 2ª TEMPORADA,B1201554500000,08/02/2012,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO AUDIOVISUAL ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DO CANADÁ
ESCRITA ÍNTIMA,B2100241700000,09/06/2021,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
ESE FIN DE SEMANA,B2100452800000,18/10/2021,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
ESTEROS,B1700243800000,18/05/2017,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
ESTIVE EM LISBOA E LEMBREI DE VOCÊ,B1500865900000,23/11/2015,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
ESTÔMAGO,B0700777200000,08/10/2007,DEFERIDO,IGUALITÁRIA,
ESTÔMAGO 2 - O PODEROSO CHEF,B2400045400000,31/01/2024,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA ITALIANA E TROCA DE NOTAS
EU,B2300173600000,03/05/2023,DEFERIDO,MAJORITÁRIA,
EXILADOS,B1301890900000,18/07/2013,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
