TITULO_ORIGINAL,CPB,DATA_EMISSAO_CPB,SITUACAO_OBRA,PART_PATRIMONIAL_BRASILEIRA,ACORDO_COPRODUCAO
TAPETE VERMELHO,B0500438700000,02/12/2005,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
TARDE PARA MORIR JOVEN,B1900363400000,02/08/2019,DEFERIDO,MINORITÁRIA,AJUSTE COMPLEMENTAR ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA DO CHILE NO ÂMBITO DA COOPERAÇÃO E DA COPRODUÇÃO CINEMATOGRÁFICA
TELEFONE SEM FIO,B1900581000000,26/11/2019,DEFERIDO,MAJORITÁRIA,
TEM CHEF EM CASA - ESPECIAL,B2000517400000,02/12/2020,DEFERIDO,MAJORITÁRIA,
TEMPERO NA MOCHILA,B1600045000000,19/01/2016,DEFERIDO,MAJORITÁRIA,
TERRA VERMELHA,B0800932600000,16/10/2008,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA ITALIANA E TROCA DE NOTAS
THE BALLAD OF A HUSTLER,B2100368000000,30/08/2021,DEFERIDO,MINORITÁRIA,
THE CLEANERS,B1800536000000,09/11/2018,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA BRASIL-ALEMANHA
TODOS OS MORTOS,B2000436400000,22/10/2020,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA FRANCESA
TOKIORI - DOBRAS DO TEMPO,B1301981200000,07/10/2013,DEFERIDO,MAJORITÁRIA,
TRASH,B1402294200000,08/09/2014,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA BRASIL-ALEMANHA
TROCA DE ESTILOS,B1500019500000,08/01/2015,DEFERIDO,MAJORITÁRIA,
TRÊS VERÕES,B1900410500000,26/08/2019,DEFERIDO,MAJORITÁRIA,
TUDO ISTO É FADO,B0400121900000,13/12/2004,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
UM ANIMAL AMARELO,B1900623600000,19/12/2019,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
UM JÓQUEI CEARENSE NA COREIA,B2200496400000,26/12/2022,DEFERIDO,IGUALITÁRIA,
UM SHOW DE NOIVA,B1500216600000,13/03/2015,DEFERIDO,MAJORITÁRIA,
"UM, DOIS FEIJÃO COM ARROZ",B1600648100000,27/09/2016,DEFERIDO,MAJORITÁRIA,
UMA,B1900177100000,16/04/2019,DEFERIDO,MINORITÁRIA,
UMA ESPÉCIE DE FAMÍLIA,B1700462900000,20/09/2017,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
UMA VIAGEM INESPERADA,B1800215300000,15/05/2018,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
UN CRIMEN COMÚN,B2000533500000,14/12/2020,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
UÝRA – A RETOMADA DA FLORESTA,B2200286600000,26/07/2022,DEFERIDO,MAJORITÁRIA,
VAZANTE,B1700051600000,02/02/2017,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
VENENO DA MADRUGADA,B0500265400000,22/06/2005,DEFERIDO,IGUALITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
VERGEL,B1700600300000,08/12/2017,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
VERLUST,B1900468100000,23/09/2019,DEFERIDO,MAJORITÁRIA,
VERMELHO BRASIL - FILME,B1402156100000,14/04/2014,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO AUDIOVISUAL ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DO CANADÁ
VERMELHO BRASIL - SÉRIE,B1402161300000,22/04/2014,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO AUDIOVISUAL ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DO CANADÁ
VERMELHO SOL,B1800458600000,28/09/2018,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
"VESTIDO, O",B0300040900000,03/11/2003,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
VIDA DE ESTAGIÁRIO - 2ª TEMPORADA,B1500769700000,09/10/2015,DEFERIDO,MAJORITÁRIA,
VIDA DE MENINA,B0400171000000,21/12/2004,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
VIEW POINT OF RENATA BUENO,B1900506100000,14/10/2019,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
VINCHUCA,B2400336300000,27/08/2024,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
VINICIUS DE MORAES,B0500293600000,01/07/2005,DEFERIDO,IGUALITÁRIA,
VINTE ANOS,B1600725300000,09/11/2016,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
VIOLA E TAMBOR,B1900525100000,21/10/2019,DEFERIDO,MINORITÁRIA,AJUSTE COMPLEMENTAR ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA DO CHILE NO ÂMBITO DA COOPERAÇÃO E DA COPRODUÇÃO CINEMATOGRÁFICA
VIOLETA FOI PARA O CÉU,B1201567200000,07/03/2012,DEFERIDO,MINORITÁRIA,AJUSTE COMPLEMENTAR ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA DO CHILE NO ÂMBITO DA COOPERAÇÃO E DA COPRODUÇÃO CINEMATOGRÁFICA
VIOLETA FOI PARA O CÉU,B1201707100000,13/12/2012,DEFERIDO,MINORITÁRIA,AJUSTE COMPLEMENTAR ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA DO CHILE NO ÂMBITO DA COOPERAÇÃO E DA COPRODUÇÃO CINEMATOGRÁFICA
VIRAR MAR,B2200073700000,21/02/2022,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA BRASIL-ALEMANHA
VIVA SAPATO!,B0300026000000,26/08/2003,DEFERIDO,MINORITÁRIA,
VIVIR ALLÍ NO ES EL INFIERNO ES EL FUEGO DEL DESIERTO.LA PLENITUD DE LA VIDA QUEDÓ AHÍ COMO UN ÁRBOL,B1900322000000,08/07/2019,DEFERIDO,MINORITÁRIA,AJUSTE COMPLEMENTAR ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA DO CHILE NO ÂMBITO DA COOPERAÇÃO E DA COPRODUÇÃO CINEMATOGRÁFICA
VIÚVA RICA SOLTEIRA NÃO FICA,B0700655500000,08/03/2007,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
VOCÊ RENOVA,B2000468900000,06/11/2020,DEFERIDO,MAJORITÁRIA,
VOCÊ RENOVA - 2ª TEMPORADA,B2100411000000,22/09/2021,DEFERIDO,MAJORITÁRIA,
WANDERING HEART,B2100259600000,16/06/2021,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
WHEN IN VENICE,B2100486100000,09/11/2021,DEFERIDO,MAJORITÁRIA,
WIGUDUN - ALMA DE DOIS ESPÍRITOS,B2400259800000,26/06/2024,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
"XANGÔ DE BAKER STREET, O",B0300004700000,13/05/2005,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
YVONE KANE,B1402296700000,09/09/2014,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
"ZAATARI, O FILME",B1800606700000,19/12/2018,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA BRASIL-ALEMANHA
ZAFARI,B2400445200000,29/10/2024,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
ZAMA,B1700480900000,03/10/2017,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
ZIMBA,B2000042900000,04/02/2020,DEFERIDO,MAJORITÁRIA,
ZOOM,B1600036800000,14/01/2016,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO AUDIOVISUAL ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DO CANADÁ
À DERIVA,B0901015000000,06/05/2009,DEFERIDO,MINORITÁRIA,
À MARGEM DO LIXO,B0800959200000,09/12/2008,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
ÁGUAS SELVAGENS,B1900245500000,27/05/2019,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA ARGENTINA
É PROIBIDO PROIBIR,B0600524400000,09/06/2006,DEFERIDO,MAJORITÁRIA,
ÚLTIMA PARADA - 174,B0800914800000,05/09/2008,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA FRANCESA
